transition,k,singular_value,normalized
L15_to_L16,0,3.706709623336792,1.0
L15_to_L16,1,2.9048237800598145,0.7836663722991943
L15_to_L16,2,2.7394278049468994,0.7390456795692444
L15_to_L16,3,2.389561653137207,0.6446584463119507
L15_to_L16,4,2.3019769191741943,0.6210297346115112
L15_to_L16,5,2.2290546894073486,0.6013566851615906
L15_to_L16,6,2.111575126647949,0.5696629285812378
L15_to_L16,7,2.098418712615967,0.5661135911941528
L15_to_L16,8,2.058551549911499,0.5553581714630127
L15_to_L16,9,2.041898727416992,0.5508655905723572
L15_to_L16,10,1.9910682439804077,0.5371524691581726
L15_to_L16,11,1.9719575643539429,0.5319967865943909
L15_to_L16,12,1.9561481475830078,0.527731716632843
L15_to_L16,13,1.9422659873962402,0.5239865779876709
L15_to_L16,14,1.9113843441009521,0.5156552791595459
L15_to_L16,15,1.8842602968215942,0.5083377361297607
L15_to_L16,16,1.8607834577560425,0.502004086971283
L15_to_L16,17,1.858095407485962,0.5012789368629456
L15_to_L16,18,1.8470228910446167,0.4982917606830597
L15_to_L16,19,1.835481882095337,0.49517822265625
L15_to_L16,20,1.8265520334243774,0.49276912212371826
L15_to_L16,21,1.8200790882110596,0.49102285504341125
L15_to_L16,22,1.8061245679855347,0.4872581660747528
L15_to_L16,23,1.7959188222885132,0.4845048487186432
L15_to_L16,24,1.788670539855957,0.48254939913749695
L15_to_L16,25,1.783666729927063,0.4811994731426239
L15_to_L16,26,1.768912434577942,0.4772190451622009
L15_to_L16,27,1.7627286911010742,0.4755508005619049
L15_to_L16,28,1.7605760097503662,0.4749700427055359
L15_to_L16,29,1.745390772819519,0.4708733558654785
L15_to_L16,30,1.7428960800170898,0.4702003300189972
L15_to_L16,31,1.7373522520065308,0.4687047004699707
L15_to_L16,32,1.732214093208313,0.4673185348510742
L15_to_L16,33,1.72774076461792,0.4661117196083069
L15_to_L16,34,1.7184898853302002,0.4636160135269165
L15_to_L16,35,1.7172267436981201,0.4632752239704132
L15_to_L16,36,1.7055169343948364,0.4601161479949951
