layer,metric,PC,spearman_r,p,n
0,M1_dir_refA,1,-0.03570010855558073,2.184970232444294e-18,60000
0,M1_dir_refA,2,0.08251266629853445,3.8921260444785627e-91,60000
0,M1_dir_refA,3,-0.027412770746451598,1.869703165927152e-11,60000
0,M1_dir_refA,4,0.11280418362580703,4.0982148032229874e-169,60000
0,M1_dir_refA,5,-0.10767097340097954,3.623152309612263e-154,60000
1,M1_dir_refA,1,-0.015698292265604624,0.0001203375801642732,60000
1,M1_dir_refA,2,0.04362421529867749,1.1267241889034247e-26,60000
1,M1_dir_refA,3,-0.03680644160751582,1.905640768905047e-19,60000
1,M1_dir_refA,4,0.11727385560703968,1.0421824015797848e-182,60000
1,M1_dir_refA,5,-0.10983164773182168,2.261872988525312e-160,60000
2,M1_dir_refA,1,-0.02793941010893655,7.651681375809158e-12,60000
2,M1_dir_refA,2,0.009741623931326934,0.01702313424647414,60000
2,M1_dir_refA,3,-0.05174373438960832,7.364682324710519e-37,60000
2,M1_dir_refA,4,0.1291142599440244,2.40393295422005e-221,60000
2,M1_dir_refA,5,-0.12782373867542687,5.994896872430788e-217,60000
3,M1_dir_refA,1,-0.07462635974874438,7.577486213354234e-75,60000
3,M1_dir_refA,2,0.07574194595979937,4.733637685243648e-77,60000
3,M1_dir_refA,3,-0.02463680814537728,1.5842101152562771e-09,60000
3,M1_dir_refA,4,0.1099799833766389,8.392413998214223e-161,60000
3,M1_dir_refA,5,-0.09759247105527716,6.9461073867455335e-127,60000
4,M1_dir_refA,1,-0.0642535744720631,6.36605214334125e-56,60000
4,M1_dir_refA,2,0.06265070412976041,2.989430510372911e-53,60000
4,M1_dir_refA,3,-0.07399310405298867,1.306679482195652e-73,60000
4,M1_dir_refA,4,0.12565883113328472,1.1258011171818645e-209,60000
4,M1_dir_refA,5,-0.18893480275574384,0.0,60000
5,M1_dir_refA,1,0.039031086285821956,1.1321525466934965e-21,60000
5,M1_dir_refA,2,0.06036306325164405,1.4854933963004783e-49,60000
5,M1_dir_refA,3,-0.0727962350984875,2.6578727454262733e-71,60000
5,M1_dir_refA,4,0.12135305483259481,1.3740356420199175e-195,60000
5,M1_dir_refA,5,-0.29920304825335065,0.0,60000
6,M1_dir_refA,1,-0.1490887301611521,3.0485818266446414e-295,60000
6,M1_dir_refA,2,0.08032366682976422,1.8912855306368143e-86,60000
6,M1_dir_refA,3,0.008952357472832344,0.028316816429283735,60000
6,M1_dir_refA,4,0.044664655384211174,6.96037777694086e-28,60000
6,M1_dir_refA,5,-0.18630795522284388,0.0,60000
7,M1_dir_refA,1,-0.2130765784519792,0.0,60000
7,M1_dir_refA,2,0.09326150186363551,5.36356196462435e-116,60000
7,M1_dir_refA,3,0.04680168610719483,1.8650576519080538e-30,60000
7,M1_dir_refA,4,0.010448043147809553,0.010489707353898845,60000
7,M1_dir_refA,5,0.050196330602288446,8.722915704424016e-35,60000
8,M1_dir_refA,1,-0.125369946678863,1.0289142821667238e-208,60000
8,M1_dir_refA,2,0.08448510350123221,1.8129357526192338e-95,60000
8,M1_dir_refA,3,-0.02318034384472377,1.357650437348856e-08,60000
8,M1_dir_refA,4,0.019502817606866143,1.7744394440895825e-06,60000
8,M1_dir_refA,5,-0.15346334641296272,0.0,60000
9,M1_dir_refA,1,-0.19678015180715147,0.0,60000
9,M1_dir_refA,2,0.07104314668996888,5.4628598087462815e-68,60000
9,M1_dir_refA,3,0.0011535552162887698,0.7775169263015583,60000
9,M1_dir_refA,4,0.03259606034053739,1.3901835841992253e-15,60000
9,M1_dir_refA,5,-0.16949947061216478,0.0,60000
10,M1_dir_refA,1,-0.373688779258567,0.0,60000
10,M1_dir_refA,2,0.053215888973439186,6.861931134574496e-39,60000
10,M1_dir_refA,3,-0.019064712166479078,3.0089372757219545e-06,60000
10,M1_dir_refA,4,-0.03146511813047324,1.2671157831107724e-14,60000
10,M1_dir_refA,5,0.030728968586110864,5.1267489302523585e-14,60000
11,M1_dir_refA,1,-0.3896085514292028,0.0,60000
11,M1_dir_refA,2,0.046635334610176445,2.986512533170241e-30,60000
11,M1_dir_refA,3,0.01499604247979248,0.00023934883970947067,60000
11,M1_dir_refA,4,-0.014204042962149076,0.0005025964479732611,60000
11,M1_dir_refA,5,0.035655590545485234,2.4066505109995764e-18,60000
12,M1_dir_refA,1,-0.3363372334719537,0.0,60000
12,M1_dir_refA,2,0.05385644310091068,8.613492898624043e-40,60000
12,M1_dir_refA,3,-0.03749353287962519,4.037954369673136e-20,60000
12,M1_dir_refA,4,-0.03134280482006029,1.6019210480624015e-14,60000
12,M1_dir_refA,5,-0.08266672320439139,1.8012323017531823e-91,60000
13,M1_dir_refA,1,-0.4142555211287534,0.0,60000
13,M1_dir_refA,2,0.0424429971254905,2.4576090036231766e-25,60000
13,M1_dir_refA,3,0.046630149793560324,3.0305797424792573e-30,60000
13,M1_dir_refA,4,0.024012741002310434,4.038177672727472e-09,60000
13,M1_dir_refA,5,-0.03976233809540467,1.9686702754347788e-22,60000
14,M1_dir_refA,1,-0.42064050038560624,0.0,60000
14,M1_dir_refA,2,0.04225809512162817,3.9517079569854266e-25,60000
