layer,pair,n_per_class,AUROC
0,splice_donor_vs_intron,527,0.7842130403630284
1,splice_donor_vs_intron,527,0.9164477350529417
2,splice_donor_vs_intron,527,0.940689435554494
3,splice_donor_vs_intron,527,0.9516758219886952
4,splice_donor_vs_intron,527,0.9433564206671443
5,splice_donor_vs_intron,527,0.9471379667223947
6,splice_donor_vs_intron,527,0.949924369078895
7,splice_donor_vs_intron,527,0.9413661332696441
8,splice_donor_vs_intron,527,0.9456651540482446
9,splice_donor_vs_intron,527,0.9427195286999442
10,splice_donor_vs_intron,527,0.9456651540482446
11,splice_donor_vs_intron,527,0.939933126343444
12,splice_donor_vs_intron,527,0.9390175941405939
13,splice_donor_vs_intron,527,0.9364700262717935
14,splice_donor_vs_intron,527,0.9345195446222434
15,splice_donor_vs_intron,527,0.9364302205238436
16,splice_donor_vs_intron,527,0.9367486665074437
17,splice_donor_vs_intron,527,0.9418039964970942
18,splice_donor_vs_intron,527,0.9368680837512937
19,splice_donor_vs_intron,527,0.940012737839344
20,splice_donor_vs_intron,527,0.9419632194888942
21,splice_donor_vs_intron,527,0.9487301966403949
22,splice_donor_vs_intron,527,0.9546612530849455
23,splice_donor_vs_intron,527,0.9647719130642465
24,splice_donor_vs_intron,527,0.969031128094897
25,splice_donor_vs_intron,527,0.9719767534431971
26,splice_donor_vs_intron,527,0.9748427672955975
27,splice_donor_vs_intron,527,0.9798582915372981
28,splice_donor_vs_intron,527,0.9474962184539447
29,splice_donor_vs_intron,527,0.7992596130881299
30,splice_donor_vs_intron,527,0.820237242257782
31,splice_donor_vs_intron,527,0.820237242257782
0,intergenic_vs_intron,8000,0.5826103298611112
1,intergenic_vs_intron,8000,0.6368657118055556
2,intergenic_vs_intron,8000,0.6571933159722223
3,intergenic_vs_intron,8000,0.893607378472222
4,intergenic_vs_intron,8000,0.8373193576388888
5,intergenic_vs_intron,8000,0.8289613715277777
6,intergenic_vs_intron,8000,0.8096169270833333
7,intergenic_vs_intron,8000,0.7888072048611111
8,intergenic_vs_intron,8000,0.7935754340277777
9,intergenic_vs_intron,8000,0.7723764756944445
10,intergenic_vs_intron,8000,0.8753683159722223
11,intergenic_vs_intron,8000,0.8616417534722222
12,intergenic_vs_intron,8000,0.8570519965277779
13,intergenic_vs_intron,8000,0.8447690104166666
14,intergenic_vs_intron,8000,0.8350799479166666
15,intergenic_vs_intron,8000,0.8283400173611112
16,intergenic_vs_intron,8000,0.8257370659722223
17,intergenic_vs_intron,8000,0.8705606770833334
18,intergenic_vs_intron,8000,0.85963984375
19,intergenic_vs_intron,8000,0.8554634548611111
20,intergenic_vs_intron,8000,0.8600955729166666
21,intergenic_vs_intron,8000,0.8504547743055555
22,intergenic_vs_intron,8000,0.8481311631944445
23,intergenic_vs_intron,8000,0.8441370659722223
24,intergenic_vs_intron,8000,0.9407183159722221
25,intergenic_vs_intron,8000,0.9204346354166666
26,intergenic_vs_intron,8000,0.910630642361111
27,intergenic_vs_intron,8000,0.8983769965277778
28,intergenic_vs_intron,8000,0.6986184895833333
29,intergenic_vs_intron,8000,0.6457706597222221
30,intergenic_vs_intron,8000,0.6296314236111112
31,intergenic_vs_intron,8000,0.6296314236111112
0,coding_exon_vs_intron,8000,0.6075671874999999
1,coding_exon_vs_intron,8000,0.7273477430555555
2,coding_exon_vs_intron,8000,0.7646362847222222
3,coding_exon_vs_intron,8000,0.9391824652777777
4,coding_exon_vs_intron,8000,0.8986618055555555
5,coding_exon_vs_intron,8000,0.8929819444444445
6,coding_exon_vs_intron,8000,0.8847512152777778
7,coding_exon_vs_intron,8000,0.8633810763888888
8,coding_exon_vs_intron,8000,0.8692730902777777
9,coding_exon_vs_intron,8000,0.8691805555555556
10,coding_exon_vs_intron,8000,0.9191953125000001
11,coding_exon_vs_intron,8000,0.9052541666666667
12,coding_exon_vs_intron,8000,0.8991673611111111
13,coding_exon_vs_intron,8000,0.8925137152777778
14,coding_exon_vs_intron,8000,0.8803411458333333
15,coding_exon_vs_intron,8000,0.8831963541666665
16,coding_exon_vs_intron,8000,0.8788229166666667
17,coding_exon_vs_intron,8000,0.9082651041666668
18,coding_exon_vs_intron,8000,0.9040225694444445
19,coding_exon_vs_intron,8000,0.9027960069444445
20,coding_exon_vs_intron,8000,0.9012213541666667
21,coding_exon_vs_intron,8000,0.8995083333333334
22,coding_exon_vs_intron,8000,0.9005923611111112
23,coding_exon_vs_intron,8000,0.9058869791666666
24,coding_exon_vs_intron,8000,0.9589072916666667
25,coding_exon_vs_intron,8000,0.9514840277777777
26,coding_exon_vs_intron,8000,0.9535987847222223
27,coding_exon_vs_intron,8000,0.9401633680555557
