layer,PC,pair,n_per_class,AUROC
0,1,splice_donor_vs_intron,527,0.5444630204601544
1,1,splice_donor_vs_intron,527,0.5963697157869596
2,1,splice_donor_vs_intron,527,0.5920308892604091
3,1,splice_donor_vs_intron,527,0.6239152933683624
4,1,splice_donor_vs_intron,527,0.6370511901918638
5,1,splice_donor_vs_intron,527,0.6574715388902158
6,1,splice_donor_vs_intron,527,0.6565162009394157
7,1,splice_donor_vs_intron,527,0.6880025475678688
8,1,splice_donor_vs_intron,527,0.6771753841254677
9,1,splice_donor_vs_intron,527,0.5289387787596528
10,1,splice_donor_vs_intron,527,0.5335562455218533
11,1,splice_donor_vs_intron,527,0.5419950640872543
12,1,splice_donor_vs_intron,527,0.5192659820078018
13,1,splice_donor_vs_intron,527,0.5113844439137012
14,1,splice_donor_vs_intron,527,0.5179921980734018
15,1,splice_donor_vs_intron,527,0.5456571928986544
16,1,splice_donor_vs_intron,527,0.6175463736963618
17,1,splice_donor_vs_intron,527,0.5723668497731071
18,1,splice_donor_vs_intron,527,0.5831940132155083
19,1,splice_donor_vs_intron,527,0.6048881458482606
20,1,splice_donor_vs_intron,527,0.5966483560226097
21,1,splice_donor_vs_intron,527,0.6069978504896106
22,1,splice_donor_vs_intron,527,0.6087493033994108
23,1,splice_donor_vs_intron,527,0.5784571292094578
24,1,splice_donor_vs_intron,527,0.5427115675503543
25,1,splice_donor_vs_intron,527,0.5239630602659024
26,1,splice_donor_vs_intron,527,0.5337154685136534
27,1,splice_donor_vs_intron,527,0.5677891887588568
28,1,splice_donor_vs_intron,527,0.5897619616272589
29,1,splice_donor_vs_intron,527,0.5214552981450521
30,1,splice_donor_vs_intron,527,0.7059947456412706
31,1,splice_donor_vs_intron,527,0.7059947456412706
0,2,splice_donor_vs_intron,527,0.5017514529098002
1,2,splice_donor_vs_intron,527,0.5564843563410556
2,2,splice_donor_vs_intron,527,0.59967359286681
3,2,splice_donor_vs_intron,527,0.5253562614441526
4,2,splice_donor_vs_intron,527,0.5223310245999523
5,2,splice_donor_vs_intron,527,0.5062096966802007
6,2,splice_donor_vs_intron,527,0.5188679245283019
7,2,splice_donor_vs_intron,527,0.519385399251652
8,2,splice_donor_vs_intron,527,0.5058116392007006
9,2,splice_donor_vs_intron,527,0.5025475678688003
10,2,splice_donor_vs_intron,527,0.5335164397739034
