cell,n_iter,mean_d,median_d,std,ci_low,ci_high
M1_dir_refA,200,0.30109750987792117,0.30092199524955343,0.009088998535983096,0.2855851820143408,0.31818135347374477
M1_dir_refB,200,0.14752155879054865,0.1474662881230464,0.008778300422452898,0.1317918180166936,0.16359390358636536
M1_dir_refC,200,-0.06891508929215501,-0.06932920583759986,0.00867333388778283,-0.08480493224013366,-0.05102256824031011
M2_mag_refA,200,0.17801812321023347,0.178537406670294,0.01082370735903689,0.15595000467742778,0.1976310508123293
M2_mag_refB_diag,200,0.0,0.0,0.0,0.0,0.0
M2_mag_refC_diag,200,0.0,0.0,0.0,0.0,0.0
M3_geo_a0.0_b1.0,200,-0.7801573917327435,-0.779757434408522,0.014712060527034238,-0.8104969014541078,-0.7537945988150836
M3_geo_a0.5_b1.0,200,-0.8009097389742647,-0.7999638340596011,0.013581925592856432,-0.8268378347687371,-0.774539661469241
M3_geo_a1.0_b1.0,200,-0.5738039151268423,-0.5737781674420146,0.0140747976558837,-0.6025550806307323,-0.5452787029091731
M3_geo_a1.0_b0.5,200,-0.33463968475611083,-0.33471713820591975,0.011456710125146128,-0.35732191832591637,-0.3132533114882267
M3_geo_a1.0_b0.0,200,0.14689154489332212,0.14685012379111523,0.008440055294638094,0.13118856755640043,0.16297535321705772
M4_set_refA,200,-0.1580007625947396,-0.15732138913153298,0.0065713189610191345,-0.1720116744692839,-0.1469873349243777
M4_set_refB,200,0.0,0.0,0.0,0.0,0.0
M4_set_refC,200,0.0,0.0,0.0,0.0,0.0
M5_tau_refA,200,-0.17146944569470765,-0.1716743862649425,0.008386837577393884,-0.18786873529451534,-0.1553875668192256
M5_tau_refB,200,-0.4260187067270852,-0.42652841806492103,0.012474873897222776,-0.4465416468727545,-0.40412568285554495
M5_tau_refC,200,0.023623140252317362,0.02376868210535739,0.0048973687766624635,0.013769916695199488,0.033155672403998145
