cell,n_valid,n_total,never_settled_pct,mean,median,std
M1_dir_refA,165516000,165516000,0.0,28.454456831967907,28.0,0.4979214996820282
M1_dir_refB,165516000,165516000,0.0,28.5495474576476,29.0,0.4975389928846395
M1_dir_refC,165516000,165516000,0.0,4.514464196814809,5.0,1.126225237517307
M2_mag_refA,165516000,165516000,0.0,28.619866870876532,29.0,0.4854193375487513
M2_mag_refB_diag,165516000,165516000,0.0,0.0,0.0,0.0
M2_mag_refC_diag,165516000,165516000,0.0,0.0,0.0,0.0
M3_geo_a0.0_b1.0,87685923,165516000,47.02269085768143,20.69294497818082,25.0,8.33366545267069
M3_geo_a0.5_b1.0,75421998,165516000,54.432201116508374,16.213125008966216,23.0,8.662074613163421
M3_geo_a1.0_b1.0,141909432,165516000,14.262408468063512,15.263094619390767,18.0,7.541606613596961
M3_geo_a1.0_b0.5,165448473,165516000,0.04079786848401363,10.517826241889823,9.0,5.588611981568377
M3_geo_a1.0_b0.0,165516000,165516000,0.0,1.2357991251601053,1.0,1.833174066735972
M4_set_refA,165516000,165516000,0.0,11.698738822832837,0.0,14.225883488152327
M4_set_refB,165516000,165516000,0.0,0.0,0.0,0.0
M4_set_refC,165516000,165516000,0.0,0.0,0.0,0.0
M5_tau_refA,165516000,165516000,0.0,4.216086094395708,0.0,9.983251532538139
M5_tau_refB,165516000,165516000,0.0,24.622510736122187,27.0,4.0688744602752305
M5_tau_refC,165516000,165516000,0.0,26.89995321298243,27.0,2.7894541128240933
