context,cell,n,mean,median,std
intergenic,M1_dir_refA,59974303,28.47152916474911,28.0,0.49918875341910196
intergenic,M1_dir_refB,59974303,28.588507547974338,29.0,0.4921040682127838
intergenic,M1_dir_refC,59974303,4.467856008264072,5.0,1.0828065623777707
intergenic,M2_mag_refA,59974303,28.673702168743837,29.0,0.4688577146359947
intergenic,M2_mag_refB_diag,59974303,0.0,0.0,0.0
intergenic,M2_mag_refC_diag,59974303,0.0,0.0,0.0
intergenic,M3_geo_a0.0_b1.0,31132501,19.56033480895094,25.0,9.048660767762822
intergenic,M3_geo_a0.5_b1.0,29531185,14.925592996014213,23.0,8.99858712169724
intergenic,M3_geo_a1.0_b1.0,52656987,14.268586370124064,16.0,7.839521248690668
intergenic,M3_geo_a1.0_b0.5,59969694,9.670423380849668,9.0,5.468389075347411
intergenic,M3_geo_a1.0_b0.0,59974303,1.3067859246317544,1.0,1.8110206111281022
intergenic,M4_set_refA,59974303,12.45803516882889,0.0,14.354549208208876
intergenic,M4_set_refB,59974303,0.0,0.0,0.0
intergenic,M4_set_refC,59974303,0.0,0.0,0.0
intergenic,M5_tau_refA,59974303,3.672225603022014,0.0,9.422786809217564
intergenic,M5_tau_refB,59974303,24.95788501285292,27.0,3.929943601065894
intergenic,M5_tau_refC,59974303,26.857683581583267,27.0,2.7596988949508527
intron,M1_dir_refA,94927829,28.426166914656818,28.0,0.4945186300926446
intron,M1_dir_refB,94927829,28.516218389446156,29.0,0.4997368946193313
intron,M1_dir_refC,94927829,4.555022194808648,5.0,1.0607924217023026
intron,M2_mag_refA,94927829,28.58362265927308,29.0,0.49295765625061366
intron,M2_mag_refB_diag,94927829,0.0,0.0,0.0
intron,M2_mag_refC_diag,94927829,0.0,0.0,0.0
intron,M3_geo_a0.0_b1.0,49559434,22.304927877102067,25.0,6.756955428057579
intron,M3_geo_a0.5_b1.0,39821538,17.955972720089314,23.0,7.756190751920506
intron,M3_geo_a1.0_b1.0,80080645,16.345472229900246,21.0,7.001731260121253
intron,M3_geo_a1.0_b0.5,94869077,11.257695676748284,9.0,5.499914755631609
intron,M3_geo_a1.0_b0.0,94927829,1.1942195370337607,0.0,1.8383625669299715
intron,M4_set_refA,94927829,11.396782422992104,0.0,14.163062885059228
intron,M4_set_refB,94927829,0.0,0.0,0.0
intron,M4_set_refC,94927829,0.0,0.0,0.0
intron,M5_tau_refA,94927829,4.656668709867999,0.0,10.394422020252096
intron,M5_tau_refB,94927829,24.47367757667775,27.0,4.159075851563477
intron,M5_tau_refC,94927829,26.909583500534918,27.0,2.7588788161828086
coding_exon,M1_dir_refA,6173026,28.661245230459098,29.0,0.4732863569280149
coding_exon,M1_dir_refB,6173026,28.69047352141397,29.0,0.4622984291993229
coding_exon,M1_dir_refC,6173026,4.515373659530998,4.0,2.064238902994308
coding_exon,M2_mag_refA,6173026,28.709265115682324,29.0,0.4541014328962893
coding_exon,M2_mag_refB_diag,6173026,0.0,0.0,0.0
coding_exon,M2_mag_refC_diag,6173026,0.0,0.0,0.0
coding_exon,M3_geo_a0.0_b1.0,4457923,12.104122031717461,4.0,10.729516864653844
coding_exon,M3_geo_a0.5_b1.0,4111837,9.644948717568328,4.0,9.070935098462744
coding_exon,M3_geo_a1.0_b1.0,5602599,9.718481190604574,9.0,7.86021920111191
coding_exon,M3_geo_a1.0_b0.5,6170962,7.622827688778508,9.0,5.6577248282829276
coding_exon,M3_geo_a1.0_b0.0,6173026,1.3064276742071068,1.0,2.0015184396018015
coding_exon,M4_set_refA,6173026,11.013403637049317,0.0,14.073872101136452
coding_exon,M4_set_refB,6173026,0.0,0.0,0.0
coding_exon,M4_set_refC,6173026,0.0,0.0,0.0
coding_exon,M5_tau_refA,6173026,2.593865958121673,0.0,8.091429056482461
coding_exon,M5_tau_refB,6173026,24.276313594013697,25.0,3.7489329541349026
coding_exon,M5_tau_refC,6173026,27.19631117704672,27.0,2.5929615578703773
5utr,M1_dir_refA,359776,28.748743662723474,29.0,0.433735622533948
5utr,M1_dir_refB,359776,28.7380370008005,29.0,0.43970261114747056
