cell,donor_n,intron_n,donor_mean,intron_mean,cohen_d,p
M1_dir_refA,490458,94927829,28.590287037829945,28.426166914656818,0.3327983771629854,0.0
M1_dir_refB,490458,94927829,28.601613186042435,28.516218389446156,0.17262711150888457,0.0
M1_dir_refC,490458,94927829,4.406397693584364,4.555022194808648,-0.10473548223246845,0.0
M2_mag_refA,490458,94927829,28.674116845886907,28.58362265927308,0.18814389940558213,0.0
M2_mag_refB_diag,490458,94927829,0.0,0.0,0.0,1.0
M2_mag_refC_diag,490458,94927829,0.0,0.0,0.0,1.0
M3_geo_a0.0_b1.0,340976,49559434,15.373882619304585,22.304927877102067,-0.7750090067588755,0.0
M3_geo_a0.5_b1.0,281464,39821538,11.075480345621465,17.955972720089314,-0.8018664749902424,0.0
M3_geo_a1.0_b1.0,421803,80080645,11.961617153031154,16.345472229900246,-0.5598666968107991,0.0
M3_geo_a1.0_b0.5,489602,94869077,9.329281743130135,11.257695676748284,-0.3162702511961632,0.0
M3_geo_a1.0_b0.0,490458,94927829,1.4564549869713614,1.1942195370337607,0.13676591867134935,0.0
M4_set_refA,490458,94927829,8.910391919389632,11.396782422992104,-0.1804806681662561,0.0
M4_set_refB,490458,94927829,0.0,0.0,0.0,1.0
M4_set_refC,490458,94927829,0.0,0.0,0.0,1.0
M5_tau_refA,490458,94927829,2.9181866744960834,4.656668709867999,-0.18283828961433277,0.0
M5_tau_refB,490458,94927829,22.659605919365166,24.47367757667775,-0.4246129991589159,0.0
M5_tau_refC,490458,94927829,26.916323110235737,26.909583500534918,0.0022471760235668378,0.0
