cell,context_i,context_j,n_i,n_j,d_i_minus_j
M1_dir_refA,splice_donor,splice_acceptor,10000,10000,-0.085285716663505
M1_dir_refA,splice_donor,coding_exon,10000,10000,-0.06531094758170097
M1_dir_refA,splice_donor,5utr,10000,10000,-0.2903763337136575
M1_dir_refA,splice_donor,3utr,10000,10000,0.16804695471093112
M1_dir_refA,splice_donor,intron,10000,10000,0.2731758527474773
M1_dir_refA,splice_donor,intergenic,10000,10000,0.16663506668764108
M1_dir_refA,splice_acceptor,coding_exon,10000,10000,0.019948094265743656
M1_dir_refA,splice_acceptor,5utr,10000,10000,-0.20393394500488407
M1_dir_refA,splice_acceptor,3utr,10000,10000,0.25423581392713074
M1_dir_refA,splice_acceptor,intron,10000,10000,0.3605632390582371
M1_dir_refA,splice_acceptor,intergenic,10000,10000,0.25281119013305065
M1_dir_refA,coding_exon,5utr,10000,10000,-0.22408662155226286
M1_dir_refA,coding_exon,3utr,10000,10000,0.23399533104207348
M1_dir_refA,coding_exon,intron,10000,10000,0.3400053417679834
M1_dir_refA,coding_exon,intergenic,10000,10000,0.23257416416791743
M1_dir_refA,5utr,3utr,10000,10000,0.4639242429199679
M1_dir_refA,5utr,intron,10000,10000,0.5748318956079564
M1_dir_refA,5utr,intergenic,10000,10000,0.4624473359798864
M1_dir_refA,3utr,intron,10000,10000,0.10393527853110675
M1_dir_refA,3utr,intergenic,10000,10000,-0.001402060294679822
M1_dir_refA,intron,intergenic,10000,10000,-0.1053411317984634
M1_dir_refB,splice_donor,splice_acceptor,10000,10000,-0.06527370464509727
M1_dir_refB,splice_donor,coding_exon,10000,10000,-0.10073015992330034
M1_dir_refB,splice_donor,5utr,10000,10000,-0.251571397931921
M1_dir_refB,splice_donor,3utr,10000,10000,0.2072653100825142
M1_dir_refB,splice_donor,intron,10000,10000,0.1467864858919886
M1_dir_refB,splice_donor,intergenic,10000,10000,-0.024646248945364404
M1_dir_refB,splice_acceptor,coding_exon,10000,10000,-0.035403170931376016
M1_dir_refB,splice_acceptor,5utr,10000,10000,-0.18563060973151063
M1_dir_refB,splice_acceptor,3utr,10000,10000,0.27344219209056864
M1_dir_refB,splice_acceptor,intron,10000,10000,0.2125524388825095
M1_dir_refB,splice_acceptor,intergenic,10000,10000,0.04061221058174988
M1_dir_refB,coding_exon,5utr,10000,10000,-0.15002034558768404
M1_dir_refB,coding_exon,3utr,10000,10000,0.30956628135554437
M1_dir_refB,coding_exon,intron,10000,10000,0.24839957232504004
M1_dir_refB,coding_exon,intergenic,10000,10000,0.07604023128045674
M1_dir_refB,5utr,3utr,10000,10000,0.4645901212429959
M1_dir_refB,5utr,intron,10000,10000,0.4018287932640008
M1_dir_refB,5utr,intergenic,10000,10000,0.22661316983212784
M1_dir_refB,3utr,intron,10000,10000,-0.0600240937128245
M1_dir_refB,3utr,intergenic,10000,10000,-0.23220252669583324
M1_dir_refB,intron,intergenic,10000,10000,-0.17158364530541734
M1_dir_refC,splice_donor,splice_acceptor,10000,10000,0.09822339938461384
M1_dir_refC,splice_donor,coding_exon,10000,10000,-0.03934252504056375
M1_dir_refC,splice_donor,5utr,10000,10000,0.2729533045662822
M1_dir_refC,splice_donor,3utr,10000,10000,0.10117684688703833
M1_dir_refC,splice_donor,intron,10000,10000,-0.07265986935899536
M1_dir_refC,splice_donor,intergenic,10000,10000,-0.015129427064164975
M1_dir_refC,splice_acceptor,coding_exon,10000,10000,-0.13710045572747875
M1_dir_refC,splice_acceptor,5utr,10000,10000,0.15051967719505202
M1_dir_refC,splice_acceptor,3utr,10000,10000,-0.02370179624390043
M1_dir_refC,splice_acceptor,intron,10000,10000,-0.19803442696974025
M1_dir_refC,splice_acceptor,intergenic,10000,10000,-0.13688717191838307
M1_dir_refC,coding_exon,5utr,10000,10000,0.3193421650310772
M1_dir_refC,coding_exon,3utr,10000,10000,0.14981539880169564
M1_dir_refC,coding_exon,intron,10000,10000,-0.022526087076963647
M1_dir_refC,coding_exon,intergenic,10000,10000,0.033232321743957814
M1_dir_refC,5utr,3utr,10000,10000,-0.2893463030126216
M1_dir_refC,5utr,intron,10000,10000,-0.5544474509433983
M1_dir_refC,5utr,intergenic,10000,10000,-0.4370896156092838
M1_dir_refC,3utr,intron,10000,10000,-0.2769183881164325
M1_dir_refC,3utr,intergenic,10000,10000,-0.17549708576121234
M1_dir_refC,intron,intergenic,10000,10000,0.08374616691772466
M2_mag_refA,splice_donor,splice_acceptor,10000,10000,-0.02643652456099062
M2_mag_refA,splice_donor,coding_exon,10000,10000,-0.015566105867928956
M2_mag_refA,splice_donor,5utr,10000,10000,-0.16597269647382104
M2_mag_refA,splice_donor,3utr,10000,10000,0.39847398585174765
M2_mag_refA,splice_donor,intron,10000,10000,0.17263843570235665
M2_mag_refA,splice_donor,intergenic,10000,10000,-0.047897124341352036
M2_mag_refA,splice_acceptor,coding_exon,10000,10000,0.01086959321610552
M2_mag_refA,splice_acceptor,5utr,10000,10000,-0.13943538120500112
M2_mag_refA,splice_acceptor,3utr,10000,10000,0.4259216135811886
M2_mag_refA,splice_acceptor,intron,10000,10000,0.19926185802785093
M2_mag_refA,splice_acceptor,intergenic,10000,10000,-0.021455695467482716
M2_mag_refA,coding_exon,5utr,10000,10000,-0.15034197787982992
M2_mag_refA,coding_exon,3utr,10000,10000,0.41462147971194224
