layer,class_id,class_name,f1,AUROC_ovr
0,0,intergenic,0.29456521739130437,0.6006353359173127
0,1,intron,0.22973698336017176,0.5218945413436693
0,2,coding_exon,0.2619047619047619,0.5366810400516796
0,3,5utr,0.21649484536082475,0.6438914210509763
0,4,3utr,0.24343163538873994,0.5417273901808786
0,5,splice_donor,0.1862348178137652,0.7466402121206619
0,6,splice_acceptor,0.0995850622406639,0.6400074760765551
1,0,intergenic,0.3607103218645949,0.659732235142119
1,1,intron,0.28864803194523675,0.6105074289405685
1,2,coding_exon,0.34796573875803,0.6515474806201551
1,3,5utr,0.3949685534591195,0.8008117837469063
1,4,3utr,0.3475445223961144,0.666953811369509
1,5,splice_donor,0.3838383838383838,0.8736659220650286
1,6,splice_acceptor,0.34615384615384615,0.8400837320574164
2,0,intergenic,0.3991130820399113,0.6982448320413436
2,1,intron,0.3416289592760181,0.6528611111111111
2,2,coding_exon,0.40064620355411956,0.6832771317829457
2,3,5utr,0.4266666666666667,0.8338734338295243
2,4,3utr,0.3746556473829201,0.7109754521963825
2,5,splice_donor,0.5472312703583062,0.8909688296436203
2,6,splice_acceptor,0.4276315789473684,0.8905397727272727
3,0,intergenic,0.6107986501687289,0.8638459302325581
3,1,intron,0.5709534368070953,0.8384954780361757
3,2,coding_exon,0.6258953168044077,0.8697386950904393
3,3,5utr,0.7317073170731707,0.9717454257782164
3,4,3utr,0.7164975974372664,0.9262978036175711
3,5,splice_donor,0.5405405405405406,0.9354224554903776
3,6,splice_acceptor,0.4965986394557823,0.9254306220095694
4,0,intergenic,0.5185601799775028,0.8070209948320414
4,1,intron,0.5005488474204172,0.783485142118863
4,2,coding_exon,0.5762162162162162,0.8310888242894058
4,3,5utr,0.6485148514851485,0.9301709935187941
4,4,3utr,0.6525515743756786,0.8885991602067185
4,5,splice_donor,0.5773195876288659,0.9452172965512232
4,6,splice_acceptor,0.5190311418685121,0.9327900717703349
5,0,intergenic,0.5133333333333333,0.8049024547803617
5,1,intron,0.4887424492037342,0.7823533591731267
5,2,coding_exon,0.5829694323144105,0.8255972222222221
5,3,5utr,0.6481927710843374,0.9316618644293322
5,4,3utr,0.6177606177606177,0.8839615633074935
5,5,splice_donor,0.5454545454545454,0.9421677593544364
5,6,splice_acceptor,0.4966442953020134,0.9323190789473685
6,0,intergenic,0.4821826280623608,0.7910397286821705
6,1,intron,0.46871569703622395,0.7707587209302325
6,2,coding_exon,0.5452538631346578,0.815171834625323
6,3,5utr,0.6306954436450839,0.9320592284002139
6,4,3utr,0.6201634877384197,0.8784441214470284
6,5,splice_donor,0.5467128027681661,0.9405241874458953
6,6,splice_acceptor,0.4726027397260274,0.9233373205741627
7,0,intergenic,0.47639484978540775,0.7775723514211886
7,1,intron,0.4435754189944134,0.746500322997416
7,2,coding_exon,0.5038759689922481,0.7833020025839794
7,3,5utr,0.605296343001261,0.9096344735320515
7,4,3utr,0.5957677699403147,0.8603068475452197
7,5,splice_donor,0.4827586206896552,0.9243351554885616
7,6,splice_acceptor,0.4489795918367347,0.8991432416267943
8,0,intergenic,0.47245883021010787,0.7713155684754522
