cell,context,context_id,n,mean,median,std
M1_dir_refA,intergenic,0,31396515,28.471205992130017,28.0,0.4991702165702428
M1_dir_refA,intron,1,41477463,28.412990519694997,28.0,0.4923711509999886
M1_dir_refA,coding_exon,2,3257646,28.589420397428082,29.0,0.49193901301259285
M1_dir_refA,5utr,3,147192,28.69561525082885,29.0,0.4601463611104258
M1_dir_refA,3utr,4,1216058,28.472368916614176,28.0,0.49923593944239003
M1_dir_refA,splice_donor,5,187236,28.56173492277126,29.0,0.496174162276137
M1_dir_refA,splice_acceptor,6,185890,28.598014955080963,29.0,0.49029895837180504
M1_dir_refB,intergenic,0,31396515,28.60530807320494,29.0,0.4887844204942124
M1_dir_refB,intron,1,41477463,28.51264591568679,29.0,0.4998400552341143
M1_dir_refB,coding_exon,2,3257646,28.6372963790418,29.0,0.4807803077310999
M1_dir_refB,5utr,3,147192,28.705479917386814,29.0,0.45582672535812097
M1_dir_refB,3utr,4,1216058,28.488251382746547,28.0,0.4998619509350873
M1_dir_refB,splice_donor,5,187236,28.58574205815121,29.0,0.492593442368039
M1_dir_refB,splice_acceptor,6,185890,28.61746731938243,29.0,0.48600558523241905
M1_dir_refC,intergenic,0,31396515,4.441105676856173,5.0,1.0766390598134823
M1_dir_refC,intron,1,41477463,4.545058674393851,5.0,1.0408904030271975
M1_dir_refC,coding_exon,2,3257646,4.498210057200813,4.0,1.8504105998069995
M1_dir_refC,5utr,3,147192,4.0470134246426435,4.0,0.916334944974422
M1_dir_refC,3utr,4,1216058,4.275365977609621,4.0,0.8707205974921458
M1_dir_refC,splice_donor,5,187236,4.440978230682134,4.0,1.870412916650102
M1_dir_refC,splice_acceptor,6,185890,4.276647479692291,4.0,1.848691879123591
M2_mag_refA,intergenic,0,31396515,28.713179727113026,29.0,0.45227691069522513
M2_mag_refA,intron,1,41477463,28.598691896850102,29.0,0.4901631457954878
M2_mag_refA,coding_exon,2,3257646,28.69087463769851,29.0,0.4621329599622413
M2_mag_refA,5utr,3,147192,28.761685417685744,29.0,0.4260525110483892
M2_mag_refA,3utr,4,1216058,28.494620322385938,28.0,0.4999710582311427
M2_mag_refA,splice_donor,5,187236,28.683789442201284,29.0,0.46499617303300483
M2_mag_refA,splice_acceptor,6,185890,28.697407068696542,29.0,0.4593805059301484
M2_mag_refB_diag,intergenic,0,31396515,0.0,0.0,0.0
M2_mag_refB_diag,intron,1,41477463,0.0,0.0,0.0
M2_mag_refB_diag,coding_exon,2,3257646,0.0,0.0,0.0
M2_mag_refB_diag,5utr,3,147192,0.0,0.0,0.0
M2_mag_refB_diag,3utr,4,1216058,0.0,0.0,0.0
M2_mag_refB_diag,splice_donor,5,187236,0.0,0.0,0.0
M2_mag_refB_diag,splice_acceptor,6,185890,0.0,0.0,0.0
M2_mag_refC_diag,intergenic,0,31396515,0.0,0.0,0.0
M2_mag_refC_diag,intron,1,41477463,0.0,0.0,0.0
M2_mag_refC_diag,coding_exon,2,3257646,0.0,0.0,0.0
M2_mag_refC_diag,5utr,3,147192,0.0,0.0,0.0
M2_mag_refC_diag,3utr,4,1216058,0.0,0.0,0.0
M2_mag_refC_diag,splice_donor,5,187236,0.0,0.0,0.0
M2_mag_refC_diag,splice_acceptor,6,185890,0.0,0.0,0.0
M3_geo_a1.0_b0.0,intergenic,0,31396515,1.3392868603410284,1.0,1.7695793891443596
M3_geo_a1.0_b0.0,intron,1,41477463,1.188424132883923,1.0,1.816823633117065
M3_geo_a1.0_b0.0,coding_exon,2,3257646,1.2695747174493484,1.0,1.9374496534345027
M3_geo_a1.0_b0.0,5utr,3,147192,0.9110617424860047,0.0,1.607301987238693
M3_geo_a1.0_b0.0,3utr,4,1216058,0.9758375011718191,0.0,1.612579610780296
M3_geo_a1.0_b0.0,splice_donor,5,187236,1.467864085966374,1.0,1.985752783179025
M3_geo_a1.0_b0.0,splice_acceptor,6,185890,1.2825757168217764,1.0,1.878381506513226
M3_geo_a0.0_b1.0,intergenic,0,16501872,19.317988044023128,25.0,9.141168508468176
M3_geo_a0.0_b1.0,intron,1,22389330,22.53481024220019,25.0,6.497085429917499
M3_geo_a0.0_b1.0,coding_exon,2,2241523,14.134534867587796,23.0,10.84375546955294
M3_geo_a0.0_b1.0,5utr,3,72697,17.404913545263216,25.0,10.346904553546844
M3_geo_a0.0_b1.0,3utr,4,677692,21.013801254847333,25.0,8.211782436790662
M3_geo_a0.0_b1.0,splice_donor,5,132548,15.655370130066089,23.0,10.653809711649725
M3_geo_a0.0_b1.0,splice_acceptor,6,123826,14.818592218112514,23.0,10.733918878774478
M3_geo_a1.0_b1.0,intergenic,0,27728883,13.938445446937044,16.0,7.941806785923825
M3_geo_a1.0_b1.0,intron,1,34917392,16.529297634829085,21.0,6.958939996233389
M3_geo_a1.0_b1.0,coding_exon,2,2920170,11.284726574137807,9.0,8.209383436585526
M3_geo_a1.0_b1.0,5utr,3,99691,12.953546458556941,9.0,8.24630727234392
M3_geo_a1.0_b1.0,3utr,4,946630,15.936611981449985,21.0,7.602813381017519
M3_geo_a1.0_b1.0,splice_donor,5,161925,12.042606144820132,9.0,8.600145795593333
M3_geo_a1.0_b1.0,splice_acceptor,6,166887,12.37540970836554,9.0,8.586433506131492
