gene,feature,best_layer,best_AUROC,AUROC_L29,AUROC_L27,n_pos,n_neg
APC,delta_h_norm_2,8,0.8265142857142858,0.7802938775510204,0.7860816326530612,350,350
APC,delta_h_norm_1,8,0.8288979591836735,0.7833224489795919,0.7848408163265306,350,350
APC,delta_cos,30,0.8511836734693876,0.7782571428571429,0.7163714285714285,350,350
ATM,delta_h_norm_2,27,0.8750530612244899,0.8372489795918369,0.8750530612244899,350,350
ATM,delta_h_norm_1,27,0.8742938775510205,0.8396,0.8742938775510205,350,350
ATM,delta_cos,28,0.8739142857142856,0.8263632653061225,0.8518734693877552,350,350
BRAF,delta_h_norm_2,26,0.8676785714285714,0.826875,0.8500892857142857,70,160
BRAF,delta_h_norm_1,26,0.865,0.8271428571428572,0.8460714285714286,70,160
BRAF,delta_cos,30,0.9481250000000001,0.8210714285714286,0.8078571428571428,70,160
BRCA1,delta_h_norm_2,8,0.8304734693877551,0.6708326530612245,0.6243591836734694,350,350
BRCA1,delta_h_norm_1,8,0.8239102040816327,0.6684816326530612,0.6211836734693877,350,350
BRCA1,delta_cos,4,0.8212163265306123,0.6450571428571428,0.7710571428571429,350,350
BRCA2,delta_h_norm_2,8,0.8831918367346938,0.8709061224489796,0.7240734693877552,350,350
BRCA2,delta_h_norm_1,8,0.8817306122448979,0.8762204081632653,0.7231020408163266,350,350
BRCA2,delta_cos,28,0.9105877551020407,0.8587510204081633,0.8243102040816327,350,350
KRAS,delta_h_norm_2,8,0.8742393509127789,0.7778904665314401,0.8230223123732252,34,58
KRAS,delta_h_norm_1,26,0.8696754563894523,0.7789046653144016,0.815922920892495,34,58
KRAS,delta_cos,28,0.9051724137931034,0.7824543610547667,0.7822008113590263,34,58
MLH1,delta_h_norm_2,7,0.8108081632653061,0.7084897959183672,0.7304979591836736,350,350
MLH1,delta_h_norm_1,7,0.8148734693877552,0.7103836734693878,0.7294367346938776,350,350
MLH1,delta_cos,21,0.7828122448979593,0.6861591836734694,0.7231142857142856,350,350
MSH2,delta_h_norm_2,29,0.8562612244897959,0.8562612244897959,0.853265306122449,350,350
MSH2,delta_h_norm_1,29,0.8564816326530612,0.8564816326530612,0.8523510204081634,350,350
MSH2,delta_cos,28,0.8946,0.8527959183673469,0.8328,350,350
PALB2,delta_h_norm_2,8,0.8675847893114079,0.7280369989722507,0.7935765673175745,278,350
PALB2,delta_h_norm_1,8,0.8658890030832476,0.7219732785200411,0.7922507708119217,278,350
PALB2,delta_cos,23,0.8638540596094553,0.6947687564234326,0.8293730729701954,278,350
PIK3CA,delta_h_norm_2,8,0.9087216248506571,0.8338112305854242,0.853405017921147,45,186
PIK3CA,delta_h_norm_1,8,0.9138590203106332,0.8364396654719235,0.8519713261648746,45,186
PIK3CA,delta_cos,30,0.9228195937873358,0.8070489844683393,0.829868578255675,45,186
PTEN,delta_h_norm_2,8,0.906032677000419,0.8304482614160033,0.8811059907834101,341,350
PTEN,delta_h_norm_1,8,0.9085714285714286,0.8301047339757017,0.8788940092165899,341,350
PTEN,delta_cos,28,0.8840846250523671,0.8278466694595726,0.8301424382069543,341,350
RB1,delta_h_norm_2,26,0.8196960486322188,0.7926899696048632,0.8141641337386017,188,350
RB1,delta_h_norm_1,26,0.8205623100303953,0.7956382978723404,0.8137082066869301,188,350
RB1,delta_cos,30,0.8133586626139816,0.7892021276595744,0.7739741641337385,188,350
TP53,delta_h_norm_2,27,0.8512929475587703,0.7187974683544304,0.8512929475587703,316,350
TP53,delta_h_norm_1,27,0.8517902350813744,0.7179656419529836,0.8517902350813744,316,350
TP53,delta_cos,26,0.8425180831826401,0.7232278481012657,0.834624773960217,316,350
VHL,delta_h_norm_2,27,0.9161384976525822,0.824911971830986,0.9161384976525822,142,240
VHL,delta_h_norm_1,11,0.9166960093896714,0.8225352112676056,0.9158157276995305,142,240
VHL,delta_cos,20,0.8969483568075118,0.8192781690140846,0.8882042253521126,142,240
