stars,feature,layer,AUROC,n_pos,n_neg
2,delta_h_norm_2,0,0.6345314829430853,2016,3439
2,delta_h_norm_2,1,0.6747273628361881,2016,3439
2,delta_h_norm_2,2,0.6860882062430478,2016,3439
2,delta_h_norm_2,3,0.7132761980919148,2016,3439
2,delta_h_norm_2,4,0.7674878956138044,2016,3439
2,delta_h_norm_2,5,0.8299655388471179,2016,3439
2,delta_h_norm_2,6,0.8565415322375923,2016,3439
2,delta_h_norm_2,7,0.8758058532611455,2016,3439
2,delta_h_norm_2,8,0.8781732184974406,2016,3439
2,delta_h_norm_2,9,0.8745003623238576,2016,3439
2,delta_h_norm_2,10,0.8720053471616426,2016,3439
2,delta_h_norm_2,11,0.8721891774786876,2016,3439
2,delta_h_norm_2,12,0.8715404706517677,2016,3439
2,delta_h_norm_2,13,0.8657591550238395,2016,3439
2,delta_h_norm_2,14,0.8631693760183147,2016,3439
2,delta_h_norm_2,15,0.8616580585903062,2016,3439
2,delta_h_norm_2,16,0.8574158981708415,2016,3439
2,delta_h_norm_2,17,0.85459533963823,2016,3439
2,delta_h_norm_2,18,0.8528839652076785,2016,3439
2,delta_h_norm_2,19,0.8528580025108813,2016,3439
2,delta_h_norm_2,20,0.8480380278504733,2016,3439
2,delta_h_norm_2,21,0.845564720387525,2016,3439
2,delta_h_norm_2,22,0.8473950183931281,2016,3439
2,delta_h_norm_2,23,0.8423680633443646,2016,3439
2,delta_h_norm_2,24,0.8160933814739426,2016,3439
2,delta_h_norm_2,25,0.8200521879053064,2016,3439
2,delta_h_norm_2,26,0.8554571569346939,2016,3439
2,delta_h_norm_2,27,0.8464455048763715,2016,3439
2,delta_h_norm_2,28,0.7515744933235483,2016,3439
2,delta_h_norm_2,29,0.8132510431234625,2016,3439
2,delta_h_norm_2,30,0.771684909788283,2016,3439
2,delta_h_norm_2,31,0.771684909788283,2016,3439
2,delta_h_norm_1,0,0.6156885509122714,2016,3439
2,delta_h_norm_1,1,0.6719037032036813,2016,3439
2,delta_h_norm_1,2,0.6807932584684548,2016,3439
2,delta_h_norm_1,3,0.7025036261233194,2016,3439
2,delta_h_norm_1,4,0.7516274283775739,2016,3439
2,delta_h_norm_1,5,0.8222068032650687,2016,3439
2,delta_h_norm_1,6,0.8535903669163702,2016,3439
2,delta_h_norm_1,7,0.8772210365924017,2016,3439
2,delta_h_norm_1,8,0.8797439616536737,2016,3439
2,delta_h_norm_1,9,0.8757876793733874,2016,3439
2,delta_h_norm_1,10,0.8722146353452692,2016,3439
2,delta_h_norm_1,11,0.8718143771029784,2016,3439
2,delta_h_norm_1,12,0.8711448280000184,2016,3439
2,delta_h_norm_1,13,0.8654334674162385,2016,3439
2,delta_h_norm_1,14,0.8623899181655796,2016,3439
2,delta_h_norm_1,15,0.8606189737695991,2016,3439
2,delta_h_norm_1,16,0.8562744049349895,2016,3439
2,delta_h_norm_1,17,0.8533952860973798,2016,3439
2,delta_h_norm_1,18,0.8515908065513692,2016,3439
2,delta_h_norm_1,19,0.8516792960762865,2016,3439
2,delta_h_norm_1,20,0.8468893227543997,2016,3439
2,delta_h_norm_1,21,0.8445503722473772,2016,3439
2,delta_h_norm_1,22,0.8465019016233032,2016,3439
2,delta_h_norm_1,23,0.8422643567943799,2016,3439
2,delta_h_norm_1,24,0.8151514404104183,2016,3439
2,delta_h_norm_1,25,0.8192407815117905,2016,3439
2,delta_h_norm_1,26,0.8551578647355037,2016,3439
2,delta_h_norm_1,27,0.8453715146521921,2016,3439
2,delta_h_norm_1,28,0.7560119509178101,2016,3439
2,delta_h_norm_1,29,0.8137534213064892,2016,3439
2,delta_h_norm_1,30,0.7824695255634482,2016,3439
2,delta_h_norm_1,31,0.7824695255634482,2016,3439
2,delta_cos,0,0.6839252251254287,2016,3439
2,delta_cos,1,0.6517122975486599,2016,3439
2,delta_cos,2,0.6641567950723954,2016,3439
2,delta_cos,3,0.7017631123157801,2016,3439
2,delta_cos,4,0.7471070343907651,2016,3439
2,delta_cos,5,0.7304508104976992,2016,3439
2,delta_cos,6,0.7833862972347996,2016,3439
2,delta_cos,7,0.8299811164651961,2016,3439
2,delta_cos,8,0.8076399273967608,2016,3439
2,delta_cos,9,0.8169170480298352,2016,3439
2,delta_cos,10,0.8339598997493735,2016,3439
2,delta_cos,11,0.8388480986074762,2016,3439
2,delta_cos,12,0.8286350948734637,2016,3439
2,delta_cos,13,0.8360876869891118,2016,3439
2,delta_cos,14,0.8401263287131273,2016,3439
2,delta_cos,15,0.8326463315286374,2016,3439
2,delta_cos,16,0.8265968068190734,2016,3439
2,delta_cos,17,0.8405194472137988,2016,3439
2,delta_cos,18,0.8432157453947945,2016,3439
2,delta_cos,19,0.8406910173684672,2016,3439
2,delta_cos,20,0.8451739096821242,2016,3439
2,delta_cos,21,0.8491117296002437,2016,3439
2,delta_cos,22,0.8470389688539951,2016,3439
2,delta_cos,23,0.8472433529726711,2016,3439
2,delta_cos,24,0.8360408098976724,2016,3439
2,delta_cos,25,0.836308586267695,2016,3439
2,delta_cos,26,0.8528401892161344,2016,3439
2,delta_cos,27,0.8275492050799189,2016,3439
2,delta_cos,28,0.8585470063279745,2016,3439
2,delta_cos,29,0.8008409461729831,2016,3439
2,delta_cos,30,0.8230971795280095,2016,3439
2,delta_cos,31,0.8230971795280095,2016,3439
3,delta_h_norm_2,0,0.6477916843310828,1498,1055
3,delta_h_norm_2,1,0.6793835698783212,1498,1055
3,delta_h_norm_2,2,0.6533589810110163,1498,1055
3,delta_h_norm_2,3,0.6419402805636583,1498,1055
3,delta_h_norm_2,4,0.687715690430843,1498,1055
3,delta_h_norm_2,5,0.7388163681116686,1498,1055
3,delta_h_norm_2,6,0.745761489252653,1498,1055
3,delta_h_norm_2,7,0.7746265162396624,1498,1055
3,delta_h_norm_2,8,0.7771619663500782,1498,1055
3,delta_h_norm_2,9,0.7646460683755275,1498,1055
3,delta_h_norm_2,10,0.7568593828105721,1498,1055
3,delta_h_norm_2,11,0.7559134137776118,1498,1055
