cluster,layer,mean_dh_norm_2,mean_delta_cos,n
-1,0,0.1573636382818222,0.5499039888381958,1908
-1,1,0.1793183982372284,0.3417436480522156,1908
-1,2,0.21189875900745392,0.23530921339988708,1908
-1,3,0.2438426911830902,0.3637021481990814,1908
-1,4,0.35881707072257996,0.3251444101333618,1908
-1,5,0.4562433362007141,0.2851172089576721,1908
-1,6,0.7200079560279846,0.28943005204200745,1908
-1,7,1.0014140605926514,0.19341427087783813,1908
-1,8,1.1457507610321045,0.20966848731040955,1908
-1,9,1.4175611734390259,0.16406665742397308,1908
-1,10,1.7165113687515259,0.17192342877388,1908
-1,11,2.00742244720459,0.1567041128873825,1908
-1,12,2.1740872859954834,0.17834055423736572,1908
-1,13,2.404690980911255,0.16092592477798462,1908
-1,14,2.581071615219116,0.14547529816627502,1908
-1,15,2.731051445007324,0.16955530643463135,1908
-1,16,2.9244651794433594,0.16367314755916595,1908
-1,17,3.131725788116455,0.1533065289258957,1908
-1,18,3.298689603805542,0.13363757729530334,1908
-1,19,3.497495412826538,0.15536551177501678,1908
-1,20,3.819563388824463,0.1627434641122818,1908
-1,21,4.254335880279541,0.15376105904579163,1908
-1,22,4.751235008239746,0.18790140748023987,1908
-1,23,5.433260917663574,0.1810915321111679,1908
-1,24,6.872106075286865,0.19009919464588165,1908
-1,25,10.761822700500488,0.2174071967601776,1908
-1,26,15.6793794631958,0.29944631457328796,1908
-1,27,29.095077514648438,0.41620784997940063,1908
-1,28,6299.7861328125,0.24635590612888336,1908
-1,29,5688162.0,0.116170734167099,1908
-1,30,1551364390912.0,0.07259827107191086,1908
-1,31,1551364390912.0,0.07259827107191086,1908
0,0,0.15498799085617065,0.5044749975204468,637
0,1,0.167214497923851,0.3014448881149292,637
0,2,0.1932823210954666,0.2028079479932785,637
0,3,0.22125768661499023,0.28788864612579346,637
0,4,0.30158165097236633,0.23787234723567963,637
0,5,0.3627159595489502,0.22099459171295166,637
0,6,0.5168624520301819,0.22834976017475128,637
0,7,0.6160235404968262,0.12926235795021057,637
0,8,0.6980144381523132,0.1639774590730667,637
0,9,0.9509608745574951,0.123256616294384,637
0,10,1.1906059980392456,0.10733736306428909,637
0,11,1.3416962623596191,0.08813615143299103,637
0,12,1.47714102268219,0.11486073583364487,637
0,13,1.6842236518859863,0.09222017228603363,637
0,14,1.8076339960098267,0.07837381213903427,637
0,15,1.9732556343078613,0.1060791015625,637
0,16,2.196901798248291,0.11476010829210281,637
0,17,2.446727991104126,0.09268262982368469,637
0,18,2.5884485244750977,0.07803495973348618,637
0,19,2.782930850982666,0.09680674225091934,637
0,20,3.1649796962738037,0.10123102366924286,637
0,21,3.5741467475891113,0.09629115462303162,637
0,22,4.000250816345215,0.12540008127689362,637
0,23,4.697718143463135,0.1254243403673172,637
0,24,7.138678550720215,0.1622033715248108,637
0,25,11.711077690124512,0.2124941349029541,637
0,26,16.40530776977539,0.300812691450119,637
