cluster,n,n_PLP,n_BLB,n_VUS,pct_PLP,pct_BLB,dom_gene,dom_consequence
-1,1908,701,611,596,36.740041928721176,32.0230607966457,BRCA1,missense
0,637,95,390,152,14.913657770800627,61.224489795918366,BRCA1,intron
1,1748,32,1681,35,1.8306636155606408,96.1670480549199,EGFR,synonymous
2,696,80,561,55,11.494252873563218,80.60344827586206,TP53,synonymous
3,91,5,81,5,5.4945054945054945,89.01098901098901,BRCA1,intron
4,507,104,305,98,20.512820512820515,60.15779092702169,BRCA1,intron
5,113,13,98,2,11.504424778761061,86.72566371681415,BRCA2,synonymous
6,1407,959,50,398,68.1592039800995,3.5536602700781805,BRCA2,missense
7,148,20,32,96,13.513513513513514,21.62162162162162,PTEN,5utr
8,402,177,141,84,44.02985074626866,35.07462686567164,PALB2,intron
9,291,90,147,54,30.927835051546392,50.51546391752577,MSH2,intron
10,52,4,7,41,7.6923076923076925,13.461538461538462,PTEN,5utr
11,1028,497,104,427,48.34630350194553,10.116731517509727,BRCA2,missense
12,912,318,103,491,34.86842105263158,11.293859649122806,TP53,missense
13,340,40,98,202,11.764705882352942,28.823529411764707,RB1,missense
14,630,379,85,166,60.15873015873016,13.492063492063492,APC,missense
