consequence,layer,AUROC,n_pos,n_neg
intron,0,0.6253122119473106,338,1592
intron,1,0.6942348577205555,338,1592
intron,2,0.7194199548036039,338,1592
intron,3,0.6758403704915108,338,1592
intron,4,0.7516112366566561,338,1592
intron,5,0.7989559483809582,338,1592
intron,6,0.8064323094763759,338,1592
intron,7,0.8272650233415599,338,1592
intron,8,0.8300656388451132,338,1592
intron,9,0.8124312390354137,338,1592
intron,10,0.7981958609616128,338,1592
intron,11,0.7980378965835093,338,1592
intron,12,0.7960103773304391,338,1592
intron,13,0.7845365882667777,338,1592
intron,14,0.7816616365852933,338,1592
intron,15,0.7766253605304629,338,1592
intron,16,0.7668352858969403,338,1592
intron,17,0.7559041509321756,338,1592
intron,18,0.7482716838631026,338,1592
intron,19,0.7431480627992032,338,1592
intron,20,0.7296746305491957,338,1592
intron,21,0.7084330677053909,338,1592
intron,22,0.7081933335315632,338,1592
intron,23,0.693963530671107,338,1592
intron,24,0.6369495406024204,338,1592
intron,25,0.6068396717314382,338,1592
intron,26,0.6501312033540483,338,1592
intron,27,0.5935873896107757,338,1592
intron,28,0.561104338259344,338,1592
intron,29,0.6763681573548215,338,1592
intron,30,0.6030708275103327,338,1592
intron,31,0.6030708275103327,338,1592
synonymous,0,0.4472814389668956,22,1774
synonymous,1,0.48157732909705847,22,1774
synonymous,2,0.4953623039868812,22,1774
synonymous,3,0.48721430767653995,22,1774
synonymous,4,0.5223685559085784,22,1774
synonymous,5,0.5349492671927847,22,1774
synonymous,6,0.5626729527518706,22,1774
synonymous,7,0.5554729937480783,22,1774
synonymous,8,0.5504509582863585,22,1774
synonymous,9,0.5633647637593522,22,1774
synonymous,10,0.58165932151276,22,1774
synonymous,11,0.5831966793071641,22,1774
synonymous,12,0.5824792456697755,22,1774
synonymous,13,0.5830173208978169,22,1774
synonymous,14,0.5821717741108947,22,1774
synonymous,15,0.5822998872604285,22,1774
synonymous,16,0.5859639233370914,22,1774
synonymous,17,0.5906528646100236,22,1774
synonymous,18,0.5859895459669981,22,1774
synonymous,19,0.5830685661576304,22,1774
synonymous,20,0.6023367838474941,22,1774
synonymous,21,0.605616480475556,22,1774
synonymous,22,0.6391821256533771,22,1774
synonymous,23,0.6966536845341805,22,1774
synonymous,24,0.7938146971405146,22,1774
synonymous,25,0.8222814389668955,22,1774
synonymous,26,0.8245874756585015,22,1774
synonymous,27,0.841472788767039,22,1774
synonymous,28,0.5232397253254074,22,1774
synonymous,29,0.6772829763246899,22,1774
synonymous,30,0.6866608588705545,22,1774
synonymous,31,0.6866608588705545,22,1774
missense,0,0.6054726197028069,920,316
missense,1,0.5932546780407264,920,316
missense,2,0.576468767198679,920,316
missense,3,0.550870253164557,920,316
missense,4,0.5966634562465603,920,316
missense,5,0.631882911392405,920,316
missense,6,0.6115059163456247,920,316
missense,7,0.6300495321959273,920,316
missense,8,0.6327600440286185,920,316
missense,9,0.627982250963126,920,316
missense,10,0.62104086406164,920,316
missense,11,0.6154994496422674,920,316
missense,12,0.6139894056136488,920,316
missense,13,0.6074367088607594,920,316
missense,14,0.6055138965327462,920,316
missense,15,0.6059679416620805,920,316
missense,16,0.6050632911392404,920,316
missense,17,0.6045266923500275,920,316
missense,18,0.6068347550908091,920,316
missense,19,0.6099889928453495,920,316
missense,20,0.6113511282333517,920,316
missense,21,0.6275626031920749,920,316
missense,22,0.6345487066593285,920,316
missense,23,0.6484417996697853,920,316
missense,24,0.6447200055035773,920,316
missense,25,0.7150213263621353,920,316
missense,26,0.7956590533847001,920,316
missense,27,0.8086681342872867,920,316
missense,28,0.6399594111172262,920,316
missense,29,0.5739336818932306,920,316
missense,30,0.5883771326362136,920,316
missense,31,0.5883771326362136,920,316
5utr,0,0.7375659572319422,162,489
5utr,1,0.7202214143250272,162,489
5utr,2,0.7080209043399228,162,489
5utr,3,0.7419273397460173,162,489
5utr,4,0.7776136736600268,162,489
5utr,5,0.8380544825670934,162,489
5utr,6,0.8587694715847408,162,489
5utr,7,0.8759120401928855,162,489
5utr,8,0.87913100557954,162,489
5utr,9,0.8767199373879674,162,489
5utr,10,0.871973541366861,162,489
5utr,11,0.8683632507763387,162,489
5utr,12,0.8671135348026964,162,489
5utr,13,0.8594890050241106,162,489
5utr,14,0.856181675881744,162,489
5utr,15,0.8555631295917594,162,489
5utr,16,0.8520916963316418,162,489
5utr,17,0.8498699790451664,162,489
5utr,18,0.8495417708096645,162,489
5utr,19,0.8515488904036962,162,489
5utr,20,0.8477240021207301,162,489
5utr,21,0.844126334923881,162,489
5utr,22,0.8460829609432199,162,489
5utr,23,0.8430659698553359,162,489
5utr,24,0.8270847534651216,162,489
5utr,25,0.8376631573632256,162,489
5utr,26,0.8719356711858417,162,489
5utr,27,0.8884091999293091,162,489
5utr,28,0.8194223535055164,162,489
5utr,29,0.8645509858870458,162,489
5utr,30,0.8437981266883788,162,489
5utr,31,0.8437981266883788,162,489
3utr,0,0.5852272727272728,16,121
3utr,1,0.7303719008264463,16,121
3utr,2,0.7484504132231404,16,121
3utr,3,0.7644628099173554,16,121
3utr,4,0.8119834710743802,16,121
3utr,5,0.8651859504132231,16,121
3utr,6,0.893595041322314,16,121
3utr,7,0.9230371900826446,16,121
3utr,8,0.9266528925619835,16,121
3utr,9,0.9163223140495868,16,121
3utr,10,0.9163223140495868,16,121
3utr,11,0.9121900826446281,16,121
3utr,12,0.9121900826446281,16,121
3utr,13,0.9023760330578512,16,121
3utr,14,0.8956611570247934,16,121
3utr,15,0.890495867768595,16,121
3utr,16,0.8827479338842975,16,121
