consequence,layer,n,mean_delta_h,median_delta_h,std_delta_h
intron,0,2047,0.15712164342403412,0.15522077679634094,0.019136233255267143
intron,1,2047,0.1772901564836502,0.17109404504299164,0.021956469863653183
intron,2,2047,0.20911085605621338,0.19850857555866241,0.04368538782000542
intron,3,2047,0.23939743638038635,0.2230227291584015,0.06377719342708588
intron,4,2047,0.3475586175918579,0.31282275915145874,0.12155792117118835
intron,5,2047,0.4306378960609436,0.3844403922557831,0.1638735979795456
intron,6,2047,0.6353455185890198,0.548134446144104,0.3191635310649872
intron,7,2047,0.8204139471054077,0.6564630270004272,0.5047047734260559
intron,8,2047,0.9287011623382568,0.7448205947875977,0.5747213959693909
intron,9,2047,1.179638147354126,1.00335693359375,0.6616135239601135
intron,10,2047,1.401667833328247,1.2184443473815918,0.8095056414604187
intron,11,2047,1.607657551765442,1.3775519132614136,0.9741675853729248
intron,12,2047,1.7385046482086182,1.5158720016479492,1.0419752597808838
intron,13,2047,1.939435362815857,1.7194699048995972,1.150138258934021
intron,14,2047,2.094562530517578,1.8629517555236816,1.2382882833480835
intron,15,2047,2.241128444671631,2.0294463634490967,1.2923625707626343
intron,16,2047,2.4375314712524414,2.2458903789520264,1.3827911615371704
intron,17,2047,2.6382830142974854,2.4881362915039062,1.4864258766174316
intron,18,2047,2.800394058227539,2.658578872680664,1.5719754695892334
intron,19,2047,2.984656572341919,2.8596832752227783,1.6390964984893799
intron,20,2047,3.3541133403778076,3.247877597808838,1.7309255599975586
intron,21,2047,3.853858470916748,3.726732015609741,1.9400665760040283
intron,22,2047,4.3480987548828125,4.201763153076172,2.0843677520751953
intron,23,2047,5.087940216064453,4.964694499969482,2.5268125534057617
intron,24,2047,6.833306312561035,7.169366359710693,3.098067045211792
intron,25,2047,10.901992797851562,11.553047180175781,4.481282711029053
intron,26,2047,15.270282745361328,16.031522750854492,5.550889015197754
intron,27,2047,29.193208694458008,30.532978057861328,10.05219554901123
intron,28,2047,6952.51806640625,5474.1123046875,4848.27001953125
intron,29,2047,5236443.0,4949197.0,3430473.25
intron,30,2047,1635888398336.0,1162083696640.0,1354473930752.0
intron,31,2047,1635888398336.0,1162083696640.0,1354473930752.0
synonymous,0,1808,0.1510647088289261,0.14906862378120422,0.01418087724596262
synonymous,1,1808,0.16977408528327942,0.16528746485710144,0.01602272316813469
synonymous,2,1808,0.19015732407569885,0.18526151776313782,0.021910950541496277
synonymous,3,1808,0.20030219852924347,0.1931566596031189,0.03314176946878433
synonymous,4,1808,0.2555175721645355,0.2443874478340149,0.06143553555011749
synonymous,5,1808,0.30079448223114014,0.2839294373989105,0.07881195843219757
synonymous,6,1808,0.3794219493865967,0.350747674703598,0.12499144673347473
synonymous,7,1808,0.4569236934185028,0.4118562936782837,0.1734572947025299
synonymous,8,1808,0.5117413401603699,0.4590070843696594,0.20642247796058655
synonymous,9,1808,0.627206027507782,0.5472174882888794,0.2744847238063812
synonymous,10,1808,0.6778717637062073,0.5637947916984558,0.34274813532829285
synonymous,11,1808,0.7298574447631836,0.5878708362579346,0.4112454652786255
synonymous,12,1808,0.7671787142753601,0.605802059173584,0.4546360969543457
synonymous,13,1808,0.8177080154418945,0.6282656192779541,0.5190595984458923
synonymous,14,1808,0.8638643026351929,0.6532623767852783,0.5681220889091492
synonymous,15,1808,0.9196481704711914,0.690880298614502,0.6105888485908508
synonymous,16,1808,0.9760428667068481,0.7219246029853821,0.670142412185669
synonymous,17,1808,1.0273118019104004,0.7424970865249634,0.7363615036010742
synonymous,18,1808,1.078892707824707,0.773910403251648,0.7848374843597412
synonymous,19,1808,1.1745513677597046,0.8547614812850952,0.8286812901496887
synonymous,20,1808,1.4032732248306274,1.0745022296905518,0.8765878081321716
synonymous,21,1808,1.6496115922927856,1.2917506694793701,0.9612928032875061
synonymous,22,1808,1.9853081703186035,1.6231255531311035,1.0114293098449707
synonymous,23,1808,2.0608224868774414,1.5801597833633423,1.2603280544281006
synonymous,24,1808,2.796570301055908,2.126314640045166,1.8003311157226562
synonymous,25,1808,4.987362861633301,4.0166730880737305,2.8870811462402344
synonymous,26,1808,8.028863906860352,6.8622822761535645,3.5970587730407715
synonymous,27,1808,16.33571434020996,14.075946807861328,7.13054084777832
synonymous,28,1808,3577.6171875,2589.7490234375,3085.70947265625
synonymous,29,1808,2718827.5,1698515.25,2699106.75
synonymous,30,1808,716261228544.0,404588199936.0,869886394368.0
synonymous,31,1808,716261228544.0,404588199936.0,869886394368.0
missense,0,3742,0.15526778995990753,0.15570072829723358,0.014394653029739857
missense,1,3742,0.1779017299413681,0.17558583617210388,0.017543552443385124
missense,2,3742,0.20413340628147125,0.20153740048408508,0.026123393326997757
missense,3,3742,0.23723138868808746,0.23407933115959167,0.04193373769521713
missense,4,3742,0.35755643248558044,0.3465259075164795,0.09243941307067871
missense,5,3742,0.4865255653858185,0.4746016263961792,0.13377584517002106
missense,6,3742,0.836321234703064,0.7796300649642944,0.31369465589523315
missense,7,3742,1.247636318206787,1.172127366065979,0.5282924771308899
missense,8,3742,1.4356181621551514,1.3555272817611694,0.6033474802970886
missense,9,3742,1.7346142530441284,1.659385323524475,0.685344934463501
missense,10,3742,2.1072030067443848,2.0022761821746826,0.8822240233421326
missense,11,3742,2.46531343460083,2.3714616298675537,1.0389564037322998
missense,12,3742,2.6551694869995117,2.5584678649902344,1.1138064861297607
missense,13,3742,2.9173381328582764,2.809048652648926,1.232158899307251
missense,14,3742,3.079758644104004,2.985445022583008,1.2812879085540771
missense,15,3742,3.226304769515991,3.140052318572998,1.312097191810608
missense,16,3742,3.385314702987671,3.3105897903442383,1.355674386024475
missense,17,3742,3.579057216644287,3.5218701362609863,1.413845181465149
missense,18,3742,3.723665237426758,3.668116569519043,1.4520632028579712
missense,19,3742,3.9192726612091064,3.8713455200195312,1.490577220916748
missense,20,3742,4.209619522094727,4.158884048461914,1.5321686267852783
missense,21,3742,4.613563060760498,4.5625715255737305,1.6332223415374756
missense,22,3742,5.090660095214844,5.032865047454834,1.7036750316619873
missense,23,3742,5.754424095153809,5.701343059539795,2.010648727416992
missense,24,3742,6.950514316558838,6.965986251831055,2.185183048248291
missense,25,3742,10.987863540649414,10.90286636352539,2.996406078338623
missense,26,3742,16.79361343383789,16.346904754638672,4.468364238739014
missense,27,3742,31.31358528137207,30.614980697631836,7.804581165313721
missense,28,3742,6067.22998046875,5244.9853515625,3132.83056640625
missense,29,3742,5673170.0,5336501.5,2917816.0
missense,30,3742,1448031813632.0,1216199000064.0,939844829184.0
missense,31,3742,1448031813632.0,1216199000064.0,939844829184.0
splice,0,704,0.15733371675014496,0.15748807787895203,0.01784941740334034
