layer,H,p,max_consequence,min_consequence
0,484.92829866749287,1.2031886674967035e-99,nonsense,synonymous
1,686.8211181038859,4.917884266113072e-143,nonsense,synonymous
2,723.2550914754025,7.037095253037934e-151,nonsense,synonymous
3,1284.02373364086,6.672641485737721e-272,splice,synonymous
4,1923.2915501170612,0.0,nonsense,synonymous
5,2896.0740310880715,0.0,nonsense,synonymous
6,3687.4703693427014,0.0,nonsense,synonymous
7,4129.598929130224,0.0,nonsense,synonymous
8,4200.018064812197,0.0,nonsense,synonymous
9,4119.9087473671425,0.0,nonsense,synonymous
10,4083.452984901544,0.0,nonsense,synonymous
11,4077.4126492767195,0.0,nonsense,synonymous
12,4054.3807886383133,0.0,nonsense,synonymous
13,3933.8539091419857,0.0,nonsense,synonymous
14,3830.511444553964,0.0,nonsense,synonymous
15,3785.6015384249454,0.0,nonsense,synonymous
16,3672.453195232268,0.0,nonsense,synonymous
17,3604.3740076898303,0.0,nonsense,synonymous
18,3544.1815126294373,0.0,start_loss,synonymous
19,3535.678163953183,0.0,start_loss,synonymous
20,3453.899395553882,0.0,start_loss,synonymous
21,3370.603886935215,0.0,start_loss,synonymous
22,3383.821486342972,0.0,start_loss,synonymous
23,3353.376461572628,0.0,splice,synonymous
24,3174.853540921361,0.0,splice,synonymous
25,3311.107914334033,0.0,splice,synonymous
26,3564.113279994703,0.0,splice,synonymous
27,3464.3170206809855,0.0,splice,synonymous
28,1913.5023167865781,0.0,nonsense,synonymous
29,2595.4960041904706,0.0,nonsense,synonymous
30,2140.97469460996,0.0,nonsense,synonymous
31,2140.97469460996,0.0,nonsense,synonymous
