layer,AUROC
0,0.6874994775808079
1,0.6591416772986888
2,0.6754293145936187
3,0.6988825801758318
4,0.7473315460897842
5,0.8243073228099744
6,0.8378742642754684
7,0.8533314133636476
8,0.8568529619838403
9,0.8519842050831576
10,0.8494617752526039
11,0.8500202255381804
12,0.8497186155245506
13,0.8421379014427381
14,0.8372083539451451
15,0.8363924934757758
16,0.8296591749854799
17,0.8229463099981028
18,0.8200450787605507
19,0.8196911635041624
20,0.816822923830142
21,0.8137362812720129
22,0.8148125914550204
23,0.8115649804621555
24,0.7990971456535103
25,0.7923756686649043
26,0.8188453510011072
27,0.8103842497642465
28,0.839362367429006
29,0.7933713046599286
30,0.834820043369025
31,0.834820043369025
